Date,Open,Highest,Lowest,Close,Range,Range%,Trade,Volume
25/07/2016,3220.165,3243.79,3218.141,3230.885,5.723,0.1774,7020318500,92015844035
22/07/2016,3251.242,3253.769,3220.893,3225.162,-27.36,-0.8412,8602912800,1.07E+11
21/07/2016,3238.336,3271.373,3238.303,3252.522,14.917,0.4607,8600482500,1.07E+11
20/07/2016,3246.862,3254.507,3232.256,3237.605,-10.629,-0.3272,7270125500,91367448994
19/07/2016,3260.434,3264.73,3226.198,3248.234,-13.788,-0.4227,8888686100,1.07E+11
18/07/2016,3269.707,3281.637,3251.765,3262.022,-14.255,-0.4351,11031251800,1.30E+11
15/07/2016,3278.835,3285.026,3265.29,3276.277,-0.486,-0.0148,10266502600,1.25E+11
14/07/2016,3277.481,3281.95,3259.065,3276.763,-6.105,-0.186,10752579800,1.28E+11
13/07/2016,3274.02,3300.991,3271.775,3282.868,9.686,0.2959,17519609000,1.97E+11
12/07/2016,3201.906,3273.473,3200.303,3273.182,69.853,2.1806,17253421700,1.91E+11
11/07/2016,3199.038,3235.962,3197.625,3203.329,11.049,0.3461,13852951100,1.55E+11
08/07/2016,3199.754,3204.928,3183.959,3192.28,-17.674,-0.5506,8973485500,1.11E+11
07/07/2016,3206.55,3220.54,3190.123,3209.954,-6.849,-0.2129,11859520200,1.40E+11
06/07/2016,3197.624,3217.515,3183.451,3216.803,9.421,0.2937,12489745800,1.47E+11
05/07/2016,3199.157,3216.702,3197.995,3207.382,2.686,0.0838,13022689500,1.44E+11
04/07/2016,3136.385,3210.601,3134.023,3204.696,50.496,1.6009,13331052900,1.50E+11
01/07/2016,3156.932,3170.258,3148.294,3154.2,0.279,0.0088,7174628300,91215027688
30/06/2016,3152.833,3163.72,3148.198,3153.921,2.532,0.0803,7969261700,1.01E+11
29/06/2016,3142.484,3158.076,3139.132,3151.389,14.988,0.4779,10372366800,1.18E+11
28/06/2016,3107.397,3139.43,3099.701,3136.401,15.857,0.5081,9202463700,1.17E+11
27/06/2016,3065.128,3120.64,3064.966,3120.544,43.389,1.41,8326725900,1.04E+11
24/06/2016,3110.646,3130.539,3033.965,3077.155,-40.161,-1.2883,10479220800,1.19E+11
23/06/2016,3129.72,3129.72,3102.481,3117.316,-16.645,-0.5311,6775173800,81732552159
22/06/2016,3100.449,3134.06,3096.991,3133.961,27.644,0.8899,6648711300,81348715848
21/06/2016,3124.898,3155.492,3097.94,3106.317,-6.357,-0.2042,8796534500,1.07E+11
20/06/2016,3114.906,3118.725,3089.712,3112.674,2.317,0.0745,6358714100,74647802462
17/06/2016,3096.09,3131.048,3096.09,3110.357,15.683,0.5068,8540298500,97953389320
16/06/2016,3104.361,3112.475,3089.477,3094.674,-21.694,-0.6961,8297470300,93496238871
15/06/2016,3043.957,3128.673,3042.232,3116.368,40.385,1.3129,8739325700,1.06E+11
14/06/2016,3058.443,3078.749,3055.655,3075.983,9.642,0.3144,6627945700,78622305350
13/06/2016,3134.045,3145.605,3065.767,3066.341,-97.645,-3.0861,9297594700,1.14E+11
08/06/2016,3171.813,3174.971,3148.351,3163.986,-13.067,-0.4113,7629177500,97682790861
07/06/2016,3182.437,3186.616,3168.179,3177.053,-1.735,-0.0546,6892831400,88711618425
06/06/2016,3192.779,3197.22,3168.554,3178.788,-10.537,-0.3304,7669375100,1.01E+11
03/06/2016,3172.946,3201.749,3162.088,3189.325,22.226,0.7018,10149178300,1.36E+11
02/06/2016,3158.025,3168.824,3151.065,3167.099,6.552,0.2073,8600342700,97093625345
01/06/2016,3172.961,3181.792,3159.817,3160.547,-9.012,-0.2843,11314848200,1.32E+11
